cycle,timestamp,state,x,y,speed,heading,FL,FR,BL,BR,hazard_score,ttc,collision,total_collisions
0,0.00015997886657714844,CRUISE,10.01,10.0,0.1,0.0,10.0,5.899078952681525,8.838133660107708,4.860723312563844,0.0,999.0,0,0
1,0.10021519660949707,CRUISE,10.029,10.0,0.19,0.0,9.226524172148494,5.4213947033969925,7.200521687129244,4.786429023492646,0.0,54.21394703396992,0,0
2,0.20125508308410645,CRUISE,10.057,10.0,0.28,0.0,9.951395473100023,5.7455289878385845,7.941852198571279,4.687349957469277,0.0,30.239626251782024,0,0
3,0.3014109134674072,CRUISE,10.094000000000001,10.0,0.37000000000000005,0.0,9.592200572465565,5.190230520613819,7.779094584529983,4.823924651005489,0.0,18.53653757362078,0,0
4,0.4015936851501465,CRUISE,10.14,10.0,0.4600000000000001,0.0,10.0,5.454734342320125,8.054471177368624,4.785971656477385,0.0,14.74252524951385,0,0
5,0.5020370483398438,CRUISE,10.195,10.0,0.55,0.0,10.0,5.25265281040322,7.194249447652602,4.384283190979657,0.0,11.418810457398303,0,0
6,0.6024589538574219,CRUISE,10.259,10.0,0.64,0.0,9.845180134813955,5.561453104261677,8.076645493207145,5.323142532179141,0.0,10.111732916839411,0,0
7,0.7030508518218994,CRUISE,10.332,10.0,0.73,0.0,10.0,5.285750453265963,8.088142827169026,4.585636229153689,0.0,8.258985083228067,0,0
8,0.8036942481994629,CRUISE,10.414000000000001,10.0,0.82,0.0,9.553527753057397,5.3399212226885755,7.905080098340062,5.079900268235079,0.0,7.314960579025446,0,0
9,0.9039239883422852,CRUISE,10.505,10.0,0.9099999999999999,0.0,10.0,4.885896013262395,7.641304829546055,5.0992049179694545,0.0,5.958409772271215,0,0
10,1.0043220520019531,CRUISE,10.605,10.0,0.9999999999999999,0.0,10.0,5.440515506688299,8.319576443963138,4.874582778965308,0.0,5.978588468888241,0,0
11,1.1052165031433105,CRUISE,10.714,10.0,1.0899999999999999,0.0,9.427632272195574,5.451221409319427,7.739372132716492,4.9507014455369,0.0,5.451221409319428,0,0
12,1.2054529190063477,CRUISE,10.832,10.0,1.18,0.0,9.458367969782033,5.3688808227553375,8.492512680537223,5.005528792418834,0.0,4.925578736472787,0,0
13,1.3055901527404785,CRUISE,10.959000000000001,10.0,1.27,0.0,10.0,5.387547127450553,8.19107023687436,5.23461766596438,0.0,4.565717904619113,0,0
14,1.4059762954711914,CRUISE,11.095,10.0,1.36,0.0,9.271955102164767,5.174438789688555,2.9631295094027577,4.79752624708459,0.3579136603981616,4.074361251723271,0,0
15,1.5061266422271729,CRUISE,11.24,10.0,1.4500000000000002,0.0,10.0,5.026123057214811,3.1678906166954963,5.184495551333425,0.22140625553633578,3.695678718540302,0,0
16,1.606600284576416,CRUISE,11.394,10.0,1.5400000000000003,0.0,10.0,4.988268450806093,3.2886677547958416,5.257066108216119,0.14088816346943892,3.44018513848696,0,0
17,1.706817388534546,CRUISE,11.557,10.0,1.6300000000000003,0.0,9.894517835671577,5.4917486953222205,3.058334746850907,5.147763256199663,0.29444350209939546,3.5660705813780647,0,0
18,1.808126449584961,CRUISE,11.729000000000001,10.0,1.7200000000000004,0.0,10.0,5.129065442395763,3.2191788046057055,5.037567013569469,0.18721413026286302,3.1466659155802224,0,0
19,1.9078326225280762,CRUISE,11.91,10.0,1.8100000000000005,0.0,9.583849023087295,4.758780100922441,3.074680154215095,5.8878597085132744,0.2835465638566032,2.766732616815372,0,0
20,2.0086350440979004,CRUISE,12.1,10.0,1.9000000000000006,0.0,9.251014815193754,4.521138111385527,3.3268726932227213,5.589965079018087,0.11541820451818581,2.497866359881506,0,0
21,2.1091389656066895,CRUISE,12.299,10.0,1.9900000000000007,0.0,9.93723793742088,4.25513008312051,3.325172281337141,5.926155069578351,0.11655181244190604,2.239542149010794,0,0
22,2.209747791290283,CRUISE,12.507,10.0,2.0800000000000005,0.0,9.423891583651248,4.462670109244826,3.728855703922068,6.398564398035019,0.0,2.242547793590364,0,0
23,2.3099350929260254,CRUISE,12.724,10.0,2.1700000000000004,0.0,10.0,4.3261827619120945,3.443578801236587,6.433487724136776,0.03761413250894208,2.0798955586115833,0,0
24,2.410039186477661,CRUISE,12.950000000000001,10.0,2.2600000000000002,0.0,9.878938455534177,3.8722911257003987,3.6672174946065,5.395636354788093,0.0,1.7844659565439622,0,0
25,2.510514974594116,CRUISE,13.185,10.0,2.35,0.0,9.306655223899073,4.178234719949935,3.9827338476584764,5.1064288967863005,0.0,1.8487764247566083,0,0
26,2.610828399658203,EMERGENCY_BRAKE,13.399000000000001,10.0,2.14,0.0,9.849613849787223,3.83527158867768,3.9678758056233225,5.023759018306145,0.0,1.6320304632670979,0,0
27,2.711275815963745,EMERGENCY_BRAKE,13.592,10.0,1.9300000000000002,0.0,9.798332156936777,3.4895726371411935,3.934440379145096,5.441668277513779,0.006951575239204348,1.6306414192248566,0,0
28,2.8115644454956055,EMERGENCY_BRAKE,13.764000000000001,10.0,1.7200000000000002,0.0,10.0,3.6505160357909308,4.4394975705616355,6.058413530471036,0.0,1.8914590859020366,0,0
29,2.911851167678833,EMERGENCY_BRAKE,13.915000000000001,10.0,1.5100000000000002,0.0,10.0,3.6634799616065696,4.246648771647452,5.6915502117362085,0.0,2.1299302102363775,0,0
30,3.012272357940674,EMERGENCY_BRAKE,14.045000000000002,10.0,1.3000000000000003,0.0,10.0,3.560418662808531,4.814158836078857,5.816851025606067,0.0,2.3578931541778347,0,0
31,3.1125802993774414,CRUISE,14.184000000000001,10.0,1.3900000000000003,0.0,9.67085193172978,3.458995868650933,5.081512650983509,5.851303632787757,0.027336087566044814,2.6607660528084094,0,0
32,3.212737560272217,CRUISE,14.332,10.0,1.4800000000000004,0.0,10.0,3.6014462175437956,4.9593498505827185,5.443094712718132,0.0,2.5909685018300683,0,0
33,3.313184976577759,CRUISE,14.489,10.0,1.5700000000000005,0.0,10.0,3.540405552047408,4.638745191193218,5.035611564345303,0.0,2.3921659135455453,0,0
34,3.414226770401001,CRUISE,14.655000000000001,10.0,1.6600000000000006,0.0,9.08090788149087,3.272175397957163,5.042144387365853,5.307891496297982,0.15188306802855797,2.0841881515650713,0,0
